,Unnamed: 0,ISIN,sector,name,price_per_share,currency
458,0,IE00B8GKDB10,Global,Vanguard Funds PLC - Vanguard FTSE All-World High Dividend Yield UCITS ETF (USD) Distributing,62.93,EUR
460,0,US4370761029,Retail & Stores,"HOME DEPOT INC. DL-,05",322.3,EUR
461,0,US46625H1005,Banking & Finance,JP MORGAN CH. DL 1,224.45,EUR
462,0,US94106L1098,Environment & Recycling,WASTE MANAGEMENT (DEL.),206.85,EUR
465,0,US65342K1051,Oil & Gas,"NEXTDECADE CORP.   DL-,01",6.75,EUR
466,0,US92537N1081,Electrics,"VERTIV HOL.CL A DL-,0001",83.59,EUR
467,0,US55354G1004,Services,"MSCI INC. A        DL-,01",494.6,EUR
468,0,CA12510R1082,Mining,CDN MAVERICK CAPITAL CORP,0.093,EUR
469,0,KYG6683N1034,Banking & Finance,"NU HLDGS  CL.A DL-,000066",11.37,EUR
473,0,US62526P4063,Vehicles,"MULLEN AUT. INC. DL -,001",0.102,EUR
481,0,FR0010315770,Large/Mid/Small Caps,MULTI UNITS FRANCE - Amundi MSCI World II UCITS ETF Dist,328.49,EUR
482,0,XS0213101073,Oil & Gas,PEMEX 5 1/2 02/25,99.75,EUR
483,0,JP3756600007,Consumer Goods,NINTENDO CO LTD,71.18,EUR
484,0,IE00B1FZS350,Real Estate,iShares II plc - iShares Developed Markets Property Yield UCITS ETF USD (Dist),20.78,EUR
485,0,IE00B0M63284,Real Estate,iShares plc - iShares European Property Yield UCITS ETF EUR (Dist),31.11,EUR
486,0,IE00B4K48X80,Large/Mid Caps,iShares III plc - iShares Core MSCI Europe UCITS ETF EUR (Acc),84.34,EUR
487,0,IE00BYTBXV33,Aviation & Aeronautics,"RYANAIR HLDGS PLC EO-,006",21.69,EUR
488,0,NO0010904923,Energy & Water,"HEXAGON PURUS ASA  NK-,10",0.133,EUR
489,0,US08862E1091,Food,BEYOND MEAT INC.,2.02,EUR
490,0,JE00BS44BN30,Consumer Goods,BIRKENSTOCK HOLDING PLC,46.58,EUR
